"QueChu","QueBien","ChuThich"
"CÀN VI THIÊN","TRẠCH THIÊN QUẢI","Khư khư theo ý kiến mình thì bị tổn thất vừa phải. Hành động riêng lẻ, mong tìm lợi lớn thì sẽ lỗ to. Nếu trong tay có cổ phiếu thì chú ý bán ra, nếu không có thì không nên mua vào"
"THIÊN PHONG CẤU","CÀN VI THIÊN","Kịp thời quyết toán bán ra, cảnh giác đề phòng thị trường biến động khiến cho lợi nhuận đã giành được giảm thấp. Lúc này thị trường có nhiều dòng suy nghĩ, giá cả có thể lên xuống, không được manh động chạy theo mua vào, cảnh giác thị trường có chuyển biến, dễ bị mắc kẹt. Trước hết cần phải nghiên cứu phán đoán xu thế của thị trường, sau đó mới quyết định."
"THIÊN PHONG CẤU","THIÊN SƠN ĐỘN","Vì bị thua thiệt, tự nhiên tâm lý bị đè nặng, không được vì thế mà lo lắng, buông xuôi, mất đi lòng tin vì nếu như thế thì sẽ càng thất bại tiếp."
"THIÊN PHONG CẤU","THIÊN THỦY TỤNG","Nhận được tin thì đã muộn, chứng phiếu bị kẹt, trong lòng buồn bực. Cẩn thận đề phòng mất đoàn kết với bạn bè."
"THIÊN PHONG CẤU","TỐN VI PHONG","Cần từ tổng thể mà xét để thấy xu thế tăng hay giảm. Không thể dựa vào chủ quan, cố chấp, vì như thế rất dễ bị mắc kẹt, cách làm đó hoàn toàn không "
"THIÊN PHONG CẤU","HỎA PHONG ĐỈNH","Giữ hàng lại càng không lợi, chú ý bán ra ở thời điểm giá cả thích hợp, giá cả tạm thời có thể giảm thấp nhưng không nên xem đó là xu thế , bán ra rủi ro khá lớn. Từ tổng thể mà xét thì lợi ích không lớn lắm."
"THIÊN PHONG CẤU","TRẠCH PHONG ĐẠI QUÁ","Thị trường xuất hiện dao động lớn, nhưng thiên thời, địa lợi, nhân hòa đều có, quán triệt phương án của mình thì sẽ thắng lợi."
"THIÊN SƠN ĐỘN","THIÊN HỎA ĐỒNG NHÂN","Giá cả ở mức cao, dao động ít, lợi nhuận không lớn, không nên nhập cuộc."
"THIÊN SƠN ĐỘN","THIÊN PHONG CẤU","Trên thị trường bên mua tranh luận nhau, điều đó chứng tỏ các thông tin bên mua đã tung ra hết, về cuối lực lượng mua tỏ ra yếu ớt, có triển vọng bán ra với giá cao."
"THIÊN SƠN ĐỘN","THIÊN ĐỊA BỈ","Vận khí bế tắc, thị trường tiêu điều, lòng người mệt mỏi, xu thế không rõ ràng, nên chờ thời cơ."
"THIÊN SƠN ĐỘN","PHONG SƠN TIỆM","Có nhân tố ngẫu nhiên khiến cho bạn phải nhập cuộc, không những không có lợi ngược lại chứng phiếu bị kẹt."
"THIÊN SƠN ĐỘN","HỎA SƠN LỮ","Hành động thiếu tự tin, không có cảm giác an toàn, giao dịch trắc trở, chẳng thu được lợi gì."
"THIÊN SƠN ĐỘN","TRẠCH SƠN HÀM","Khi giá xuống, có thể mua vào nhưng số lượng không nên quá nhiều, có lo nhưng không nguy hiểm, về cuối nên bán ra, giá cả sẽ quay trở lại."
"THIÊN ĐỊA BỈ","THIÊN LÔI VÔ VỌNG","Giá thấp đến đáy, ở khu vực đáy sức mua rất lớn, giá cả sẽ lên cao, xung lực quá mạnh, chú ý ứng dụng kỷ xảo để tránh bị động."
"THIÊN ĐỊA BỈ","THIÊN THỦY TỤNG","Hôm nay bán ra non tay, nếu xử lý không thích đáng sẽ chuốc lấy thất bại, giá cả lên xuống thất thường, nhập cuộc phải cẩn thận."
"THIÊN ĐỊA BỈ","THIÊN SƠN ĐỘN","Chứng phiếu bị kẹt, nhưng không thể đầu hàng, mất lòng tin, nên xử lý chính xác giữa sức mình và hàng hóa, hôm nay không nên mua bán mới."
"THIÊN ĐỊA BỈ","PHONG ĐỊA QUAN","Áp lực bán ra khá lớn, mua vào phải cẩn thận, thế thủ là tốt, vội vàng mua vào sẽ thất bại."
"THIÊN ĐỊA BỈ","HỎA ĐỊA TẤN","Sau khi vào sàn không thể giữ lại hàng, chú ý bán ra sẽ được lợi, nếu không thì sự biến đổi ngẫu nhiên của thị trường sẽ gây nên chứng phiếu bị kẹt."
"THIÊN ĐỊA BỈ","TRẠCH ĐỊA TỤY","Nắm chắc thời cơ là vô cùng quan trọng, biết được thế nào là vào sàn với giá tốt nhất. Những điều này đều là xu thế cụ thể để đến một thời điểm nào đó, giá cả nào đó sẽ kịp thời hành động, nếu không làm được như thế thì kiếm tiền không dễ."
"PHONG ĐỊA QUAN","PHONG LÔI ÍCH","Liên tục bị mắc kẹt, không có cách gì cứu vãn được, tốt nhất là không hành động, chờ thời cơ."
"PHONG ĐỊA QUAN","PHONG THỦY HOÁN","Nhập cuộc sẽ bị kẹt, nhưng cuối cùng thị trường phát triển và được giải thoát, không bị thua lỗ."
"PHONG ĐỊA QUAN","PHONG SƠN TIỆM","Thị trường biến đổi từ nhẹ nhàng đến đột biến, phải cẩn thận nắm chắc tình hình, không được mạo hiểm hành động."
"HỎA THIÊN ĐẠI HỮU","CÀN VI THIÊN","Chạy theo mua nhiều bị kẹt, thời cơ bán ra lại chưa chín muồi, tạm thời quan sát, nếu không cầu tài gặp trở ngại."
"HỎA THIÊN ĐẠI HỮU","LÔI THIÊN ĐẠI TRÁNG","Đánh giá cao sự phán đoán của mình, sau khi nhập cuộc khắp nơi đều bị động, dễ bị kẹt, tuy nhiên cuối cùng có lo nhưng không nguy hiểm, thu lợi ít."
"ĐOÀI VI TRẠCH","TRẠCH THỦY KHỐN","Không nên nhập cuộc, tình hình có đột biến, dễ bị mắc kẹt, không nên mang tâm lý may rủi."
"ĐOÀI VI TRẠCH","TRẠCH LÔI TÙY","Không nên vì một lần thất bại đã lo sợ, gọi là “ Một lần rắn cắn, mười năm sợ dây thừng”. Như thế là quá nhạy cảm, nên tăng thêm lòng tin, không sợ thất bại, qua thất bại tổng kết kinh nghiệm để chuẩn bị cho lần giao dịch mới."
"ĐOÀI VI TRẠCH","TRẠCH THIÊN QUẢI","Tinh thần hăng hái, đề phòng có khách hàng lớn nhập cuộc mua vào, cầu tài khó khăn, không nên nhập cuộc. Về cuối giá cả tăng lên."
"ĐOÀI VI TRẠCH","THỦY TRẠCH TIẾT","Sau khi mở sàn, giá cả không ổn định. Không nên nhập cuộc. Về cuối giá cả bị động, giá tăng lên, mua bán phải chú ý nắm chắc, không được làm bừa, thắng lợi rối thì rút ra."
"ĐOÀI VI TRẠCH","LÔI TRẠCH QUY MUỘI","Mua bán tranh chấp nhưng cuối cùng không xuất hiện hiện tượng căng thẳng, cạnh tranh có trật tự, tuy có rủi ro nhưng hậu quả bình thường."
"ĐOÀI VI TRẠCH","THIÊN TRẠCH LÝ","Tinh thần mọi người hăng hái, thị trường có sức hấp dẫn, sức mua khá lớn, giá cả nằm ở mức cao, cầu tài khó khăn, giao dịch phải khống chế số lượng."
"TRẠCH THỦY KHỐN","ĐOÀI VI TRẠCH","Thị trường tiềm ẩn năng lượng rất lớn, dễ bùng nổ, vì vậy không nên vội vàng nhập cuộc, chờ thị trường ổn định mới nhập cuộc. Không nên ảo tưởng luôn mua được giá thấp, bán được giá cao."
"TRẠCH THỦY KHỐN","TRẠCH ĐỊA TỤY","Cẩn thận đề phòng thị trường đột biến, nếu không chú ý thì sẽ bị động, gây nên thua lỗ không đáng có."
"TRẠCH THỦY KHỐN","TRẠCH PHONG ĐẠI QUÁ","Không nên nhập cuộc, tình hình tạm thời ở vào trạng thái bề mặt yên lặng nhưng tiềm ẩn nag8 lượng rất lớn, có dấu hiệu sắp bột phá, rất dễ bị kẹt. Nên tạm thời quan sát, chờ thời cơ."
"TRẠCH THỦY KHỐN","KHẢM VI THỦY","Giao dịch không trôi chảy, có dấu hiệu bị mắc kẹt, nên rút lui để điều chỉnh tâm thái, vội vàng không bằng ngồi yên quan sát."
"TRẠCH THỦY KHỐN","LÔI THỦY GIẢI","Thị trường bên bán áp đảo, không nên chạy theo bán ra vì vật đến cùng cực tất sẽ quay lại, cảnh giác bên mua nhập cuộc, hoặc bên bán sau khi bán quay lại mua vào, tình hình rơi vào trạng thái cực đoan, quá trình sẽ chuyển đổi, do đó nhập cuộc phải cẩn thận."
"TRẠCH THỦY KHỐN","THIÊN THỦY TỤNG","Giá đồng đều kéo dài, mua bán nhanh là chính, không nên giữ hàng, rất dễ bị coi trọng một giá nào đó mà thua thiệt."
"TRẠCH ĐỊA TỤY","TRẠCH LÔI TÙY","Có khách hàng lớn nhập cuộc, mua bán không rõ ràng, giá cả dao động khá lớn, nên mua bán nhanh, cầu tài dễ dàng, phải cẩn thận giành thắng lợi trong sự ổn định, nóng vội sẽ bất lợi."
"TRẠCH ĐỊA TỤY","TRẠCH THỦY KHỐN","Có trở ngại, vận khí không thông, rất dễ vì đánh giá sai tình hình mà chuốc lấy thất bại. Không nên nhập cuộc, cần chờ thời."
"TRẠCH ĐỊA TỤY","TRẠCH SƠN HÀM","Sau khi nhập cuộc, ban đầu tốt, giữa chừng có rủi ro, chứng phiếu bị kẹt, kéo dài không nên, nên bán ra ở giá cả thích hợp, không để lại hậu họa."
"TRẠCH ĐỊA TỤY","THỦY ĐỊA TỶ","Áp lực bên bán khá lớn, bên mua mắc kẹt, giá giảm xuống, kịp thời bán ra sẽ có lợi, không nên giữ hàng lại."
"TRẠCH ĐỊA TỤY","LÔI ĐỊA DỰ","Có lo lắng nhưng không nguy hiểm, yên tâm hành động, nên bán, không nên mua vào."
"TRẠCH ĐỊA TỤY","THIÊN ĐỊA BỈ","Chứng phiếu bị kẹt, không nên có tâm lý dựa vào may rủi, cầu mong thời cơ chuyển biến tốt, thực ra cách suy nghĩ như thế nên tránh xa, phải dám nhìn vào sự thật. Không dám thừa nhận sai lầm, giữ chứng phiếu kéo dài thì sẽ thất bại nặng nề."
"TRẠCH SƠN HÀM","TRẠCH HỎA CÁCH","Không nên chỉ dựa vào kinh nghiệm mà nhập cuộc, nên thích nghi với tình hình, gặp tình hình mới cần phải dùng biện pháp mới, cẩn thận tổng kết các trường hợp đặc biệt để có cách xử lý thích hợp, không dao động, hành động cần có mục đích."
"TRẠCH SƠN HÀM","TRẠCH PHONG ĐẠI QUÁ","Tình hình sẽ xuất hiện hiện tượng khác với trước đây, làm cho bạn không biết rõ xu thế của thị trường, không biết nên mua hay nên bán, trong lòng lo lắng. Vì vậy lúc này không nên nhập cuộc mù quáng."
"TRẠCH SƠN HÀM","TRẠCH ĐỊA TỤY","Xu thế giá cả rất không lợi cho bạn, nên kịp thời có biện pháp, không nên nôn nóng."
"TRẠCH SƠN HÀM","THỦY SƠN KIỀN","Phải thành thực, kiên trì, nên yên lặng để vượt qua dịp này thì tốt."
"TRẠCH SƠN HÀM","LÔI SƠN TIỂU QUÁ","Thị trường khá ổn định, giá cả dao động trong biên độ lớn, giao dịch thành thật thì sẽ lợi nhiều."
"TRẠCH SƠN HÀM","THIÊN SƠN ĐỘN","Tinh thần không phấn khởi, né tránh không muốn nhìn vào thực tế, chứng phiếu bị kẹt rất khó chịu."
"THỦY SƠN KIỀN","THỦY HOẢ KÝ TẾ","Mọi người mua theo nhưng thị trường vẫn rất tiêu điều, lượng giao dịch co lại, chạy theo sẽ vất vả mà không có lợi."
"THỦY SƠN KIỀN","THỦY PHONG TỈNH","Tham gia thị trường chứng khoán điều quan trọng nhất là nắm vững cái “độ” , không thể xem nhẹ cơ hội kiếm tiền, nếu đánh giá quá mức rủi ro dễ sinh ra tiêu cực, cho dù thế nào đi nữa, đều phải học cách thấy lợi thì làm nhưng không được tham lam."
"THỦY SƠN KIỀN","THỦY ĐỊA TỶ","Áp lực bán ra tuy lớn nhưng bên mua tỏ ra không kém, mua bán không được do dự, tốt nhất chờ cho xu thế rõ ràng, lúc đó nhập cuộc vẫn chưa muộn."
"THỦY SƠN KIỀN","TRẠCH SƠN HÀM","Xuất hiện dao động trong biên độ lớn, mọi người vội vàng, căn cứ tình hình thấy thấp mua vào là thích hợp."
"THỦY SƠN KIỀN","ĐỊA SƠN KHIÊM","Chứng phiếu mắc kẹt có triển vọng được giải thoát, nhưng chẳng có lợi gì. Nhân đà đó mua vào có thể thu lợi."
"THỦY SƠN KIỀN","PHONG SƠN TIỆM","Vận khí thông suốt, mua bán thuận lợi, có lợi nhiều, nhưng không thể vì thế mà thiếu cảnh giác."
"ĐỊA SƠN KHIÊM","ĐỊA HỎA MINH DI","Thị trường xuất hiện trở ngại lớn, có thể sẽ thay đổi, sau khi vào sàn hầu như bị dồn đến chân tường, đành chịu thua thiệt."
"ĐỊA SƠN KHIÊM","ĐỊA PHONG THĂNG","Giá cả có triển vọng tăng lên, thuận theo đà đó mua bán chẳng có gì nguy hiểm."
"ĐỊA SƠN KHIÊM","KHÔN VI ĐỊA","Giá thấp cản trở cục diện, bán ra rủi ro khá lớn, chú ý giữ lại, tìm thời cơ để nhập cuộc."
"ĐỊA SƠN KHIÊM","LÔI SƠN TIỂU QUÁ","Có khách hàng mạnh thao túng thị trường, giá cả lúc lên lúc xuống, nhập cuộc rủi ro lớn."
"ĐỊA SƠN KHIÊM","THỦY SƠN KIỀN","Thị trường phát triển không rõ, trong lòng không nắm chắc, giá cả lên xuống thất thường, không nên nhập cuộc."
"ĐỊA SƠN KHIÊM","CẤN VI SƠN","Thị trường tiêu điều, chưa phải là thời cơ mua bán, làm nhiều mà không đem lại lợi ích."
"LÔI SƠN TIỂU QUÁ","LÔI HỎA PHONG","Tự mình cảm thất tốt đẹp, không nên vào sàn một cách thiếu trách nhiệm, vì bản thân phán đoán sai mà gây nên tổn thất. "
"LÔI SƠN TIỂU QUÁ","LÔI PHONG HẰNG","Trong thị trường chứng khoán nói đó là sự so sánh về tiền của thì không bằng nói đó là sự so sánh về tâm thái và trí lực, vì vậy trong thị trường chứng khoán không thể chỉ dựa vào tiền vốn để quyết chiến, vì như thế rất dễ bị phá sản. "
"LÔI SƠN TIỂU QUÁ","LÔI ĐỊA DỰ","Áp lực bán ra khá lớn, trong lòng lo lắng, thiếu lòng tin. Tâm trạng này vào sàn không lợi. Nên thế thủ thì hơn."
"LÔI SƠN TIỂU QUÁ","ĐỊA SƠN KHIÊM","Không hiểu thị trường chứng khoán thì không nên tham gia, không quen biết chủng loại chứng phiếu cũng không nên làm. Do đó trước khi hành động phải tìm hiểu để làm quen với các loại chứng phiếu, nắm vững xu thế của nó, đạt được trong lòng nắm chắc, kết hợp với tình hình cụ thể của mình, đặt ra phương án hành động thiết thực, nắm chắc thời cơ có lợi mới mong chiến thắng."
"LÔI SƠN TIỂU QUÁ","TRẠCH SƠN HÀM","Có thông tin truyền đến, cung lớn hơn cầu, mọi người tranh nhau xào xáo, có thể thuận theo xu thế mà hành động, không những không thua lỗ mà còn thắng lợi."
"LÔI SƠN TIỂU QUÁ","HỎA SƠN LỮ","Có chính sách mới, giá lên xuống không lớn, không cần lo lắng, theo phán đoán của mình vào sàn tự nhiên, ngược lại sẽ thu lãi lớn, đây là tin mừng bất ngờ. "
"LÔI TRẠCH QUY MUỘI","LÔI THỦY GIẢI","Giá biến đổi mới, mọi người hăng hái, chạy theo nhập cuộc, giữa chừng có đột biến, kết quả bị mắc kẹt, trong lòng lo lắng, chẳng được lợi gì."
"LÔI TRẠCH QUY MUỘI","CHẤN VI LÔI","Tình hình dao động. Không nên nhập cuộc."
"LÔI TRẠCH QUY MUỘI","LÔI THIÊN ĐẠI TRÁNG","Nhập cuộc có nguy hiểm, không nên hành động, thế thủ là tốt."
"LÔI TRẠCH QUY MUỘI","ĐỊA TRẠCH LÂM","Nắm chắc nguyên nhân cơ bản sự phát triển của thị trường, hành động theo xu thế, kịp thời điều chỉnh sách lược, mua bán không rủi ro mà còn có lợi."
"LÔI TRẠCH QUY MUỘI","ĐOÀI VI TRẠCH","Thế thủ thì tốt, manh động sẽ chuốc lấy thất bại. Tạm thời nên quan sát chờ thời."
"LÔI TRẠCH QUY MUỘI","HỎA TRẠCH KHUÊ","Tuy đang bị mắc kẹt nhưng bán ra chưa phải là thời cơ. Về cuối giá cả dao động khá lớn. Chờ thời cơ có lợi, kiên định và tin tưởng, không nên bị người khác mê hoặc, nếu không sẽ thất bại lớn hơn."
"LY VI HỎA","HỎA SƠN LỮ","Ban đầu căng thẳng, về sau nhẹ nhàng. Ban đầu mất, về sau được."
"LY VI HỎA","HỎA THIÊN ĐẠI HỮU","Về sau giá thị trường lên cao, do đó khi bắt đầu nhập cuộc nếu mua chứng phiếu mới ở giá thấp thì nhất định thắng lợi."
"LY VI HỎA","HỎA LÔI PHỆ HẠP","Không nên hành động, thế thủ là chính, sắp có chính sách mới ảnh hưởng đến thị trường, quan sát chờ thời cơ."
"LY VI HỎA","SƠN HỎA BÔN","Chứng phiếu bị kẹt không có cách gì giải quyết, chỉ có bán hết đi rồi làm mới."
"LY VI HỎA","THIÊN HỎA ĐỒNG NHÂN","Tinh thần hăng hái, nhưng không phân tích được xu thế của tình hình, chỉ biết chạy theo, kết quả chuốc lấy thất bại."
"LY VI HỎA","LÔI HỎA PHONG","Thị trường tấp nập, mọi người hăng hái, mua vào có lợi, có thể giữ chứng phiếu lại."
"HỎA SƠN LỮ","LY VI HỎA","Chứng phiếu bị kẹt, xu thế không rõ ràng, không nắm chắc tình hình, không nên nhập cuộc."
"HỎA SƠN LỮ","HỎA PHONG ĐỈNH","Thị trường tấp nập, giao dịch sôi động, thuận theo xu thế, ra sức phát huy thì sẽ thắng lợi."
"HỎA SƠN LỮ","HỎA ĐỊA TẤN","Có khách háng lớn nhập cuộc thao túng, giá cả dao động, mọi người lo sợ bị mắc kẹt. Nên thuận theo xu thế mà hành động, giá cả tăng lên yếu ớt, giá đứng ở mức cao nhưng không vững, nên nắm chắc thời cơ, gặp cao thì bán ra."
"HỎA SƠN LỮ","CẤN VI SƠN","Tích cực củng cố thành quả đã đạt được, không nên chủ quan, không được tham lam, nên nghỉ ngơi chờ thời."
"HỎA SƠN LỮ","THIÊN SƠN ĐỘN","Xu thế không rõ ràng, giá cả ở mức cực đoan, có dấu hiệu giảm xuống, bên mua giữ giá lại nhưng bên bán áp đảo, cuối cùng bên mua mạnh hơn, giá cả tăng lên, nhưng không được mù quáng chạy theo mua vào. Mua bán nhanh là chính, chú ý vận dụng kỹ xảo."
"HỎA SƠN LỮ","LÔI SƠN TIỂU QUÁ","Tình hình có biến, hành động khéo sẽ có lợi. Về cuối giá cả biến động đều, có thể mua bán nhanh, rủi ro ít."
"HỎA PHONG ĐỈNH","HỎA THIÊN ĐẠI HỮU","Chú ý mua vào nhưng không được chạy theo quá mức."
"HỎA PHONG ĐỈNH","HỎA SƠN LỮ","Mua bán bị mắc kẹt, vận khí không tốt, chẳng được gì."
"HỎA PHONG ĐỈNH","HỎA THỦY VỊ TẾ","Phát sinh nhiều tình hình bất lợi gây nên hành động nhiễu loạn, giá biến động trong biên độ hẹp. Nhập cuộc vất vả mà chẳng được gì, nên cẩn thận."
"HỎA PHONG ĐỈNH","SƠN PHONG CỔ","Cẩn thận đề phòng bị thua lỗ, tâm thái không tốt hoặc quá tham lam, không chú ý đến tình hình khách quan biến đổi, cứ một mạch chạy theo thị trường thì dễ mắc kẹt."
"HỎA PHONG ĐỈNH","THIÊN PHONG CẤU","Giá từng nấc tăng lên, bên bán không có sức kéo xuống, bên mua kịp thời bán ra, không nên chạy theo đến cùng, phải cảnh giác dấu hiệu tình hình biến đổi."
"HỎA PHONG ĐỈNH","LÔI PHONG HẰNG","Qua một thời ký giá cao, đa số khách hàng đều mất lòng tin, nghe tin gì cũng cảm thấy hoang man, nếu manh động chạy theo thị trường dễ bị thua thiệt."
"HỎA THỦY VỊ TẾ","HỎA TRẠCH KHUÊ","Thị trường có hiện tượng đột biến không thể hành động theo mong muốn chủ quan, cẩn thận đề phòng bị mắc kẹt."
"HỎA THỦY VỊ TẾ","HỎA ĐỊA TẤN","Vào sàn giao dịch, gặp họa mà được phúc, chỉ là vì tạm thời mà mắc kẹt nhưng tình hình phát triển theo hướng ngược lại có lợi cho mình, cuối cùng lo lắng được xóa tan mà còn có lợi. "
"HỎA THỦY VỊ TẾ","HỎA PHONG ĐỈNH","Thị trường tấp nập, lòng người hăng hái, lôi cuốn mọi người chạy theo mua vào, giá cả tăng lên. Theo đà đó mà làm chẳng có gì mà không lợi."
"HỎA THỦY VỊ TẾ","SƠN THỦY MÔNG","Trong thị trường chứng khoán không thể cùng người khác mua bán, vì cách làm này luôn tạo nên thua thiệt, phương thức mua bán mỗi người một khác, cho nên nhất định phải căn cứ vào tình hình cụ thể của mình mà định ra phương án."
"HỎA THỦY VỊ TẾ","THIÊN THỦY TỤNG","Sau khi mở sàn, dựa theo xu thế mua vào, thấy lợi thì kịp thời bán ra, giữ hàng lại có rủi ro, lượng không nên nhiều."
"HỎA THỦY VỊ TẾ","LÔI THỦY GIẢI","Có khách hàng lớn vào sàn thao túng tạo nên cục diện bị động và mắc kẹt, lòng đầy lo lắng. Nên kịp thời nghĩ cách xử lý chứng phiếu bị kẹt, để lâu có hại lớn."
"SƠN THỦY MÔNG","SƠN TRẠCH TỔN","phải vô cùng cẩn thận, có triệu chứng thua lỗ lớn, cuối cùng tuy có lợi nhỏ, nhưng tổng thể vẫn là lỗ. Cho nên hôm nay phải tự thuyết phục mình, không nên tham gia, cho dù phán đoán chính xác cũng không nên nhập cuộc, đó là lời khuyến cáo bạn."
"SƠN THỦY MÔNG","SƠN ĐỊA BÁC","trong lúc kiếm tiền không nên coi thường người khác, khi thua lỗ không nên mủi lòng, nên có thái độ bình thường để ứng xử với sự việc phát sinh thì không có gì là không lợi."
"SƠN THỦY MÔNG","SƠN PHONG CỔ","Chạy theo thị trường sẽ không thuận lợi, đầu tiên bị kẹt, sau mấy lần vật lộn vất vả mới thoát được."
"SƠN THỦY MÔNG","HỎA THỦY VỊ TẾ","không nên mua bán những mặt hàng bạn không nắm chắc, tuy bỏ ra nhiều sức lực nhưng nguy cơ trùng trùng. Làm bất cứ việc gì cũng không nên không hiểu biết, vì như thế thường vất vả mà vẫn thất bại."
"SƠN THỦY MÔNG","PHONG THỦY HOÁN","trạng thái tâm lý của bạn không tốt, lo lắng cho nên hôm nay tuyệt đối không nên hành động."
"SƠN THỦY MÔNG","ĐỊA THỦY SƯ","Về lẽ đời mà nói, đồng thời có cái được cũng thường có cái mất, cho nên kiếm được nhiều thì cũng phải tốn một ít, đó là tình trạng hôm nay."
"PHONG THỦY HOÁN","PHONG TRẠCH TRUNG PHÙ","Nghe theo ý kiến người khác, mù quáng chạy theo thị trường, không giữ tình độc lập của mình, giá cả dao động lớn, mua bán đều không thuận, cầu tài không được."
"PHONG THỦY HOÁN","PHONG ĐỊA QUAN","Cần điều chỉnh tâm thái, không được nôn nóng, dục tốc bất đạt, nhập cuộc vội vàng sẽ thất bại."
"PHONG THỦY HOÁN","TỐN VI PHONG","Sự việc diễn ra ngược với mong muốn, giao dịch ban đầu tốt, về sau trắc trở, cầu tài không được. Tốt nhất không nhập cuộc."
"PHONG THỦY HOÁN","THIÊN THỦY TỤNG","Thị trường phát sinh hiện tượng khác thường, vào sàn không lợi. Có khách hàng lớn nhập cuộc, giá cả dao động lớn, tạm thời ngưng giao dịch, chờ thời cơ."
"PHONG THỦY HOÁN","SƠN THỦY MÔNG","Ban đầu giao dịch không thuận lợi, có trở ngại, xuất hiện thua lỗ. Nhưng không can gì, bình tĩnh hành động tình hình sẽ phát triển theo hướng có lợi, thua thiệt được bù đắp, cuối cùng còn có lãi. Không nên giữ hàng lại, nên kịp thời bán ra."
