"TenQue","Hao6","Hao5","Hao4","Hao3","Hao2","Hao1","Cung","QueThuong","QueHa","HaoThe","LoiQue","DichLoiQue","LoiBan","Hao1Dich","Hao1LoiBan","Hao2Dich","Hao2LoiBan","Hao3Dich","Hao3LoiBan","Hao4Dich","Hao4LoiBan","Hao5Dich","Hao5LoiBan","Hao6Dich","Hao6LoiBan","Hao1LoiQue","Hao2LoiQue","Hao3LoiQue","Hao4LoiQue","Hao5LoiQue","Hao6LoiQue","ThuTuQue"
"LÔI THỦY GIẢI","Thê Tài Tuất Thổ","Quan Quỷ Thân Kim (Ứng)","Tử Tôn Ngọ Hỏa","Tử Tôn Ngọ Hỏa","Thê Tài Thìn Thổ (Thế)","Huynh Đệ Dần Mộc","Chấn","Chấn","Khảm","2","","","","","","","","","","","","","","","","","","","","","","40"
"LÔI PHONG HẰNG","Thê Tài Tuất Thổ (Ứng)","Quan Quỷ Thân Kim","Tử Tôn Ngọ Hỏa","Quan Quỷ Dậu Kim (Thế)","Phụ Mẫu Hợi Thủy","Thê Tài Sửu Thổ","Chấn","Chấn","Tốn","3","","","","","","","","","","","","","","","","","","","","","","32"
"ĐỊA PHONG THĂNG","Quan Quỷ Dậu Kim","Phụ Mẫu Hợi Thủy","Thê Tài Sửu Thổ (Thế)","Quan Quỷ Dậu Kim","Phụ Mẫu Hợi Thủy","Thê Tài Sửu Thổ (Ứng)","Chấn","Khôn","Tốn","4","","","","","","","","","","","","","","","","","","","","","","46"
"THỦY PHONG TỈNH","Phụ Mẫu Tí Thủy","Thê Tài Tuất Thổ (Thế)","Quan Quỷ Thân Kim","Quan Quỷ Dậu Kim","Phụ Mẫu Hợi Thủy (Ứng)","Thê Tài Sửu Thổ","Chấn","Khảm","Tốn","5","","","","","","","","","","","","","","","","","","","","","","48"
"TRẠCH PHONG ĐẠI QUÁ","Thê Tài Mùi Thổ","Quan Quỷ Dậu Kim","Phụ Mẫu Hợi Thủy (Thế)","Quan Quỷ Dậu Kim","Phụ Mẫu Hợi Thủy","Thê Tài Sửu Thổ (Ứng)","Chấn","Đoài","Tốn","4","","","","","","","","","","","","","","","","","","","","","","28"
"TRẠCH LÔI TÙY","Thê Tài Mùi Thổ (Ứng)","Quan Quỷ Dâu Kim","Phụ Mẫu Hợi Thủy","Thê Tài Thìn Thổ (Thế)","Huynh Đệ Dân Mộc","Phụ Mẫu Tí Thủy          ","Chấn","Đoài","Chấn","3","","","","","","","","","","","","","","","","","","","","","","17"
"TỐN VI PHONG","Huynh Đệ Mão Mộc (Thế)","Tử Tôn Tỵ Hỏa","Thê Tài Mùi Thổ","Quan Quỷ Dậu Kim (Ứng)","Phụ Mẫu Hợi Thủy","Thê Tài Sửu Thổ","Tốn","Tốn","Tốn","6","","","","","","","","","","","","","","","","","","","","","","57"
"PHONG THIÊN TIỂU SÚC","Huynh Đệ Mão Mộc","Tử Tôn Tỵ Hỏa","Thê Tài Mùi Thổ (Ứng)","Thê Tài Thìn Thổ","Huynh Đệ Dần Mộc","Phụ Mẫu Tí Thủy (Thế)","Tốn","Tốn","Càn","1","","","","","","","","","","","","","","","","","","","","","","9"
"PHONG HỎA GIA NHÂN","Huynh Đệ Mão Mộc","Tử Tôn Tỵ Hỏa (Ứng)","Thê Tài Mùi Thổ","Phụ Mẫu Hợi Thủy","Thê Tài Sửu Thổ (Thế)","Huynh Đệ Mão Mộc","Tốn","Tốn","Ly","2","","","","","","","","","","","","","","","","","","","","","","37"
"PHONG LÔI ÍCH","Huynh Đệ Mão Mộc (Ứng)","Tử Tôn Tỵ Hỏa","Thê Tài Mùi Thổ","Thê Tài Thìn Thổ (Thế)","Huynh Đệ Dần Mộc","Phụ Mẫu Tí Thủy","Tốn","Tốn","Chấn","3","","","","","","","","","","","","","","","","","","","","","","42"
"THIÊN LÔI VÔ VỌNG","Thê Tài Tuất Thổ","Quan Quỷ Thân Kim","Tử Tôn Ngọ Hỏa (Thế)","Thê Tài Thìn Thổ","Huynh Đệ Dần Mộc","Phụ Mẫu Tí Thủy (Ứng)","Tốn","Càn","Chấn","4","","","","","","","","","","","","","","","","","","","","","","25"
"HỎA LÔI PHỆ HẠP","Tử Tôn Tỵ Hỏa","Thê Tài Mùi Thổ (Thế)","Quan Quỷ Dậu Kim","Thê Tài Thìn Thổ","Huynh Đệ Dần Mộc (Ứng)","Phụ Mẫu Tí Thủy","Tốn","Ly","Chấn","5","","","","","","","","","","","","","","","","","","","","","","21"
"SƠN LÔI DI","Huynh Đệ Dần Mộc","Phụ Mẫu Tí Thủy","Thê Tài Tuất Thổ (Thế)","Thê Tài Thìn Thổ","Huynh Đệ Dần Mộc","Phụ Mẫu Tí Thủy (Ứng)","Tốn","Cấn","Chấn","4","","","","","","","","","","","","","","","","","","","","","","27"
"SƠN PHONG CỔ","Huynh Đệ Dần Mộc (Ứng)","Phụ Mẫu Tí Thủy","Thê Tài Tuất Thổ","Quan Quỷ Dậu Kim (Thế)","Phụ Mẫu Hợi Thủy","Thê Tài Sửu Thổ","Tốn","Cấn","Tốn","3","","","","","","","","","","","","","","","","","","","","","","18"
"KHẢM VI THỦY","Huynh Đệ Tí Thủy (Thế)","Quan Quỷ Tuất Thổ","Phụ Mẫu Thân Kim","Thê Tài Ngọ Hỏa(Ứng)","Quan Quỷ Thìn Thổ","Tử Tôn Dần Mộc","Khảm","Khảm","Khảm","6","","","","","","","","","","","","","","","","","","","","","","29"
"THỦY TRẠCH TIẾT","Huynh Đệ Tí Thủy","Quan Quỷ Tuất Thổ","Phụ Mẫu Thân Kim (Ứng)","Quan Quỷ Sửu Thổ","Tử Tôn Mão Mộc","Thê Tài Tỵ Hỏa (Thế)","Khảm","Khảm","Đoài","1","","","","","","","","","","","","","","","","","","","","","","60"
"THỦY LÔI TRUÂN","Huynh Đệ Tí Thủy","Quan Quỷ Tuất Thổ (Ứng)","Phụ Mẫu Thân Kim","Quan Quỷ Thìn Thổ","Tử Tôn Dần Mộc (Thế)","Huynh Đệ Tí Thủy","Khảm","Khảm","Chấn","2","","","","","","","","","","","","","","","","","","","","","","3"
"THỦY HOẢ KÝ TẾ","Huynh Đệ Tí Thủy (Ứng)","Quan Quỷ Tuất Thổ","Phụ Mẫu Thân Kim","Huynh Đệ Hợi Thủy (Thế)","Quan Quỷ Sửu Thổ","Tử Tôn Mão Mộc","Khảm","Khảm","Ly","3","","","","","","","","","","","","","","","","","","","","","","63"
"TRẠCH HỎA CÁCH","Quan Quỷ Mùi Thổ","Phụ Mẫu Dậu Kim","Huynh Đệ Hợi Thủy (Thế)","Huynh Đệ Hợi Thủy","Quan Quỷ Sửu Thổ","Tử Tôn Mão Mộc (Ứng)","Khảm","Đoài","Ly","4","","","","","","","","","","","","","","","","","","","","","","49"
"LÔI HỎA PHONG","Quan Quỷ Tuất Thổ","Phụ Mẫu Thân Kim (Thế)","Thê Tài Ngọ Hỏa","Huynh Đệ Hợi Thủy","Quan Quỷ Sửu Thổ (Ứng)","Tử Tôn Mão Mộc","Khảm","Chấn","Ly","5","","","","","","","","","","","","","","","","","","","","","","55"
"ĐỊA HỎA MINH DI","Phụ Mẫu Dậu Kim","Huynh Đệ Hợi Thủy","Quan Quỷ Sửu Thổ (Thế)","Huynh Đệ Hợi Thủy","Quan Quỷ Sửu Thổ","Tử Tôn Mão Mộc (Ứng)","Khảm","Khôn","Ly","4","","","","","","","","","","","","","","","","","","","","","","36"
"ĐỊA THỦY SƯ","Phụ Mẫu Dậu Kim (Ứng)","Huynh Đệ Hợi Thủy","Quan Quỷ Sửu Thổ","Thê Tài Ngọ Hỏa (Thế)","Quan Quỷ Thìn Thổ","Tử Tôn Thân Kim","Khảm","Khôn","Khảm","3","","","","","","","","","","","","","","","","","","","","","","7"
"CẤN VI SƠN","Quan Quỷ Dần Mộc (Thế)","Thê Tài Tí Thủy","Huynh Đệ Tuất Thổ","Tử Tôn Thân Kim (Ứng)","Phụ Mẫu Ngọ Hỏa","Huynh Đệ Thìn Thổ","Cấn","Cấn","Cấn","6","","","","","","","","","","","","","","","","","","","","","","52"
"SƠN HỎA BÔN","Quan Quỷ Dần Mộc","Thê Tài Tí Thủy","Huynh Đệ Tuất Thổ (Ứng)","Thê Tài Hợi Thủy","Huynh Đệ Sửu Thổ","Quan Quỷ Mão Mộc (Thế)","Cấn","Cấn","Ly","1","","","","","","","","","","","","","","","","","","","","","","22"
"SƠN THIÊN ĐẠI SÚC","Quan Quỷ Dần Mộc","Thê Tài Tí Thủy (Ứng)","Huynh Đệ Tuất Thổ","Huynh Đệ Thìn Thổ","Quan Quỷ Dần Mộc (Thế)","Thê Tài Tí Thủy","Cấn","Cấn","Càn","2","","","","","","","","","","","","","","","","","","","","","","26"
"SƠN TRẠCH TỔN","Quan Quỷ Dần Mộc (Ứng)","Thê Tài Tí Thủy","Huynh Đệ Tuất Thổ","Huynh Đệ Sửu Thổ (Thế)","Quan Quỷ Mão Mộc","Phụ Mẫu Tỵ Hỏa","Cấn","Cấn","Đoài","3","","","","","","","","","","","","","","","","","","","","","","41"
"HỎA TRẠCH KHUÊ","Phụ Mẫu Tỵ Hoả","Huynh Đệ Mùi Thổ","Tử Tôn Dậu Kim (Thế)","Huynh Đệ Sửu Thổ","Quan Quỷ Mão Mộc","Phụ Mẫu Tỵ Hỏa (Ứng)","Cấn","Ly","Đoài","4","","","","","","","","","","","","","","","","","","","","","","38"
"THIÊN TRẠCH LÝ","Huynh Đệ Tuất Thổ","Tử Tôn Thân Kim (Thế)","Phụ Mẫu Ngọ Hoả","Huynh Đệ Sửu Thổ","Quan Quỷ Mão Mộc (Ứng)","Phụ Mẫu Tỵ Hỏa","Cấn","Càn","Đoài","5","","","","","","","","","","","","","","","","","","","","","","10"
"PHONG TRẠCH TRUNG PHÙ","Quan Quỷ Mão Mộc","Phụ Mẫu Tỵ Hoả","Huynh Đệ Mùi Thổ (Thế)","Huynh Đệ Sửu Thổ","Quan Quỷ Mão Mộc","Phụ Mẫu Tỵ Hỏa (Ứng)","Cấn","Tốn","Đoài","4","","","","","","","","","","","","","","","","","","","","","","61"
"PHONG SƠN TIỆM","Quan Quỷ Mão Mộc (Ứng)","Phụ Mẫu Tỵ Hoả","Huynh Đệ Mùi Thổ","Tử Tôn Thân Kim (Thế)","Phụ Mẫu Ngọ Hoả","Huynh Đệ Thìn Thổ","Cấn","Tốn","Cấn","3","","","","","","","","","","","","","","","","","","","","","","53"
"KHÔN VI ĐỊA","Tử Tôn Dậu Kim (Thế)","Thê Tài Hợi Thủy","Huynh Đệ Sửu Thổ","Quan Quỷ Mão Mộc (Ứng)","Phụ Mẫu Tỵ Hỏa","Huynh Đệ Mùi Thổ","Khôn","Khôn","Khôn","6","","","","","","","","","","","","","","","","","","","","","","2"
"ĐỊA LÔI PHỤC","Tử Tôn Dậu Kim","Thê Tài Hợi Thủy","Huynh Đệ Sửu Thổ (Ứng)","Huynh Đệ Thìn Thổ","Quan Quỷ Dần Mộc","Thê Tài Tí Thủy (Thế)","Khôn","Khôn","Chấn","1","","","","","","","","","","","","","","","","","","","","","","24"
"ĐỊA TRẠCH LÂM","Tử Tôn Dậu Kim","Thê Tài Hợi (Ứng)","Huynh Đệ Sửu Thổ","Huynh Đệ Sửu Thổ","Quan Quỷ Mão Mộc (Thế)","Phụ mẫu Tỵ Hỏa","Khôn","Khôn","Đoài","2","","","","","","","","","","","","","","","","","","","","","","19"
"ĐỊA THIÊN THÁI","Tử Tôn Dậu Kim (Ứng)","Thê Tài Hợi Thủy","Huynh Đệ Sửu Thổ","Huynh Đệ Thìn Thổ (Thế)","Quan Quỷ Dần Mộc","Thê Tài Tí Thủy","Khôn","Khôn","Càn","3","","","","","","","","","","","","","","","","","","","","","","11"
"LÔI THIÊN ĐẠI TRÁNG","Huynh Đệ Tuất","Tử Tôn Thân Kim","Phụ Mẫu Ngọ Hỏa (Thế)","Huynh Đệ Thìn Thổ","Quan Quỷ Dần Mộc","Thê Tài Tí Thủy (Ứng)","Khôn","Chấn","Càn","4","","","","","","","","","","","","","","","","","","","","","","34"
"TRẠCH THIÊN QUẢI","Huynh Đệ Mùi Thổ","Tử Tôn Dậu Kim (Thế)","Thê Tài Hợi Thủy","Huynh Đệ Thìn Thổ","Quan Quỷ Dần Mộc (Ứng)","Thê Tài Tí Thủy","Khôn","Đoài","Càn","5","","","","","","","","","","","","","","","","","","","","","","43"
"THỦY THIÊN NHU","Thê Tài Tí","Huynh Đệ Tuất","Tử Tôn Thân (Thế)","Huynh Đệ Thìn","Quan Quỷ Dần","Thê Tài Tí (Ứng)","Khôn","Khảm","Càn","4","","","","","","","","","","","","","","","","","","","","","","5"
"THỦY ĐỊA TỶ","Thê Tài Tí Thủy (Ứng)","Huynh Đệ Tuất Thổ","Tử Tôn Thân Kim","Quan Quỷ Mão Mộc (Thế)","Phụ Mẫu Tỵ Hoả","Huynh Đệ Mùi Thổ","Khôn","Khảm","Khôn","3","","","","","","","","","","","","","","","","","","","","","","8"
