"ThienCan","DiaChi","TenNapAm","NguHanh","Notes"
"Bính","Tý","Giản hạ thủy","Thủy","Thủy ở trong ngũ hành vượng ở tý suy ở sửu. Thủy trong Bính tý đinh sửu thịnh vượng nhưng lại suy yếu. Cho nên không thể thành nước ở sông mà gọi là nước ở khe suối, khi mới thì lăn tăn gợn sóng, tiếp sau là đó hợp thành dòng chảy xiết va vào đá mà tung tóe như hạt tuyết. Cuối cùng hợp với các nhánh thành dòng lớn chảy về hạ lưu. Nước khe núi là nước trong thanh mảnh. Theo như trong sách là thủy được kim thích hợp gặp cát và kim lưỡi kiếm ( giáp ngọ ất mùi sa trung kim, nhâm thân quý dậu kim lưỡi kiếm). Nhưng không gặp được mệnh của thổ và hỏa. Thủy hỏa chẳng dung nạp nhau, thổ lại làm cho nước suối đục. Tốt nhất là gặp (giáp dần ất mão đại khê thủy) tương hợp tượng trưng cho suối nhỏ hợp thành sông càng chảy càng dài không phải lo nghĩ."
"Đinh","Sửu","Giản hạ thủy","Thủy","Thủy ở trong ngũ hành vượng ở tý suy ở sửu. Thủy trong Bính tý đinh sửu thịnh vượng nhưng lại suy yếu. Cho nên không thể thành nước ở sông mà gọi là nước ở khe suối, khi mới thì lăn tăn gợn sóng, tiếp sau là đó hợp thành dòng chảy xiết va vào đá mà tung tóe như hạt tuyết. Cuối cùng hợp với các nhánh thành dòng lớn chảy về hạ lưu. Nước khe núi là nước trong thanh mảnh. Theo như trong sách là thủy được kim thích hợp gặp cát và kim lưỡi kiếm ( giáp ngọ ất mùi sa trung kim, nhâm thân quý dậu kim lưỡi kiếm). Nhưng không gặp được mệnh của thổ và hỏa. Thủy hỏa chẳng dung nạp nhau, thổ lại làm cho nước suối đục. Tốt nhất là gặp (giáp dần ất mão đại khê thủy) tương hợp tượng trưng cho suối nhỏ hợp thành sông càng chảy càng dài không phải lo nghĩ."
"Mậu","Dần","Thành đầu thổ","Thổ","Thiên can mậu kỷ ngũ hành thuộc thổ, dần mão ngũ hành thuộc mộc, giống như tích thổ thành núi, phảng phất như đắp đất thành tường cho nên gọi là đất trên thành."
"Kỷ","Mão","Thành đầu thổ","Thổ","Thiên can mậu kỷ ngũ hành thuộc thổ, dần mão ngũ hành thuộc mộc, giống như tích thổ thành núi, phảng phất như đắp đất thành tường cho nên gọi là đất trên thành."
"Canh","Thìn","Bạch lạp kim","Kim","Kim hình thành trong đất mà sau lại ở cùng với hỏa. Tuy hình thái của kim đã bước đầu hình thành nhưng chưa cứng rắn. Cho nên gọi là kim giá đèn. Khi này khí của kim vừa mới phát triển, giao hòa với tinh hoa của mặt trời mặt trăng mà ngưng kết khí của âm dương. Tính chất mới hình thành của kim giá đèn thích thủy như canh thìn tân tỵ gặp ất tỵ trong số mệnh gọi là “ Phong mãnh hổ cách” thi cử học tập có đường đi tốt đẹp. Lại như gặp thủy thì thích gặp ở ất dậu, quý tỵ. Trong số mệnh cho là mệnh quý. Nhưng bởi vì Bạch lạp kim tính yếu cho nên sợ mộc khắc nó trừ khi nó gặp được hỏa yếu cần phải có mộc lại trợ giúp."
"Tân","Tỵ","Bạch lạp kim","Kim","Kim hình thành trong đất mà sau lại ở cùng với hỏa. Tuy hình thái của kim đã bước đầu hình thành nhưng chưa cứng rắn. Cho nên gọi là kim giá đèn. Khi này khí của kim vừa mới phát triển, giao hòa với tinh hoa của mặt trời mặt trăng mà ngưng kết khí của âm dương. Tính chất mới hình thành của kim giá đèn thích thủy như canh thìn tân tỵ gặp ất tỵ trong số mệnh gọi là “ Phong mãnh hổ cách” thi cử học tập có đường đi tốt đẹp. Lại như gặp thủy thì thích gặp ở ất dậu, quý tỵ. Trong số mệnh cho là mệnh quý. Nhưng bởi vì Bạch lạp kim tính yếu cho nên sợ mộc khắc nó trừ khi nó gặp được hỏa yếu cần phải có mộc lại trợ giúp."
"Nhâm","Ngọ","Dương liễu mộc","Mộc","Mộc tử ở Ngọ mộ tàng ở mùi. Mộc đã tử vong tàng mộ, chỉ có thể mượn thiên can Nhâm quý thủy trong ngũ hành để cứu sống nó. Nhưng rốt cục sức sống mộc vẫn yếu đuối cho nên gọi là gỗ cây liễu. Nó giống như tằm nhả vạn mối dây tơ. Cây dương liễu chỉ thích hợp với Bính tuất đinh hợi thổ, nhưng lại thích thủy, trừ đại hải thủy ra thì đều tốt. Bản tính dương liễu tính mộc yếu đuối gặp hỏa thì dễ chết yểu, đồng thời nếu gặp Canh thìn tân dậu Thạch Lựu mộc sẽ bị cây thạch lựu thịnh vượng áp chế, khiến cho dương liễu mộc một đời bần tiện."
"Quý","Mùi","Dương liễu mộc","Mộc","Mộc tử ở Ngọ mộ tàng ở mùi. Mộc đã tử vong tàng mộ, chỉ có thể mượn thiên can Nhâm quý thủy trong ngũ hành để cứu sống nó. Nhưng rốt cục sức sống mộc vẫn yếu đuối cho nên gọi là gỗ cây liễu. Nó giống như tằm nhả vạn mối dây tơ. Cây dương liễu chỉ thích hợp với Bính tuất đinh hợi thổ, nhưng lại thích thủy, trừ đại hải thủy ra thì đều tốt. Bản tính dương liễu tính mộc yếu đuối gặp hỏa thì dễ chết yểu, đồng thời nếu gặp Canh thìn tân dậu Thạch Lựu mộc sẽ bị cây thạch lựu thịnh vượng áp chế, khiến cho dương liễu mộc một đời bần tiện."
"Giáp","Thân","Tuyền trung thủy","Thủy","Kim kiến lộc ở thân, vượng ở dậu. Kim sau khi sinh thịnh vượng đến cực điểm thì dựa vào hỏa để sinh thủy, nhưng thủy khi mới sinh thì ít ỏi, thế lại không vượng cho nên gọi là nước trong suối. Từ nguồn gốc của nó mà nói, có kim thì nguồn thủy không bao giờ dừng. Lấy giáp ngọ ất mùi sa trung kim, canh tuất tân hợi thoa xuyến kim là tốt, gặp thủy gặp mộc cũng tốt. Nếu như trong tứ trụ năm tháng ngày giờ thì năm và giờ trụ đều có thủy, ngày tháng hai trụ đều có mộc như vậy gọi là mệnh đại phú đại quý."
"Ất","Dậu","Tuyền trung thủy","Thủy","Kim kiến lộc ở thân, vượng ở dậu. Kim sau khi sinh thịnh vượng đến cực điểm thì dựa vào hỏa để sinh thủy, nhưng thủy khi mới sinh thì ít ỏi, thế lại không vượng cho nên gọi là nước trong suối. Từ nguồn gốc của nó mà nói, có kim thì nguồn thủy không bao giờ dừng. Lấy giáp ngọ ất mùi sa trung kim, canh tuất tân hợi thoa xuyến kim là tốt, gặp thủy gặp mộc cũng tốt. Nếu như trong tứ trụ năm tháng ngày giờ thì năm và giờ trụ đều có thủy, ngày tháng hai trụ đều có mộc như vậy gọi là mệnh đại phú đại quý."
"Bính","Tuất","Ốc thượng thổ","Thổ","Bính đinh ngũ hành thuộc hỏa, tuất hợi như cánh cửa trời. Hỏa đang cháy lại ở trên cao vậy thì thổ tự nhiên không ở bên dưới, cho nên gọi là đất trên mái nhà. Ở đây giải thích không được đúng lắm vì đất trên mái nhà thực tế chỉ là gạch ngói. Tuất hợi như thổ một thủy hòa lại thành bùn, lấy hỏa nung mới thành gạch ngói xây nhà lợp phòng. Đất trên mái nhà đã là gạch ngói, nó là đồ để lợp nhà đương nhiên cần mộc là giá đỡ, sau mới cần kim để trang điểm. Phòng ốc kim huy hoàng là tượng trưng cho đại cát đại quý. Cho nên gặp kim lưỡi gươm, kim trang sức đều là mệnh phú quý. Nhà cửa sợ gặp hỏa hoạn cho nên ốc thượng thổ cũng sợ hỏa. Nhưng thiên thượng hỏa lại rất tốt vì thiên thượng hỏa tượng trưng cho ánh nắng mặt trời."
"Đinh","Hợi","Ốc thượng thổ","Thổ","Bính đinh ngũ hành thuộc hỏa, tuất hợi như cánh cửa trời. Hỏa đang cháy lại ở trên cao vậy thì thổ tự nhiên không ở bên dưới, cho nên gọi là đất trên mái nhà. Ở đây giải thích không được đúng lắm vì đất trên mái nhà thực tế chỉ là gạch ngói. Tuất hợi như thổ một thủy hòa lại thành bùn, lấy hỏa nung mới thành gạch ngói xây nhà lợp phòng. Đất trên mái nhà đã là gạch ngói, nó là đồ để lợp nhà đương nhiên cần mộc là giá đỡ, sau mới cần kim để trang điểm. Phòng ốc kim huy hoàng là tượng trưng cho đại cát đại quý. Cho nên gặp kim lưỡi gươm, kim trang sức đều là mệnh phú quý. Nhà cửa sợ gặp hỏa hoạn cho nên ốc thượng thổ cũng sợ hỏa. Nhưng thiên thượng hỏa lại rất tốt vì thiên thượng hỏa tượng trưng cho ánh nắng mặt trời."
"Mậu","Tý","Bích lôi hỏa","Hỏa","Ngũ hành sửu thuộc thổ, ngũ hành tý thuộc thủy, thủy ở chính vị mà với nạp âm gọi hỏa. Đây là hỏa trong thủy, là thuộc tính rồng thần, cho nên ví nó như lửa sấm sét. Lửa sấm, sét thế như điện chớp biến ảo vô cùng. Bản chất thủy hỏa vốn chẳng bao dung nhau mà nay thủy hỏa hợp nhất, sách xưa cho là một loại rồng thần. Rồng thần khi đến không thể không có gió mưa sấm chớp, do đó Bích lôi hỏa với thủy thổ mộc gặp nhau hoặc tốt hoặc không có hại. Cái kỵ tức là hỏa, bởi vì hai hỏa gặp nhau tính khô nên xấu."
"Kỷ","Sửu","Bích lôi hỏa","Hỏa","Ngũ hành sửu thuộc thổ, ngũ hành tý thuộc thủy, thủy ở chính vị mà với nạp âm gọi hỏa. Đây là hỏa trong thủy, là thuộc tính rồng thần, cho nên ví nó như lửa sấm sét. Lửa sấm, sét thế như điện chớp biến ảo vô cùng. Bản chất thủy hỏa vốn chẳng bao dung nhau mà nay thủy hỏa hợp nhất, sách xưa cho là một loại rồng thần. Rồng thần khi đến không thể không có gió mưa sấm chớp, do đó Bích lôi hỏa với thủy thổ mộc gặp nhau hoặc tốt hoặc không có hại. Cái kỵ tức là hỏa, bởi vì hai hỏa gặp nhau tính khô nên xấu."
"Canh","Dần","Tùng bách mộc","Mộc","Mộc trong ngũ hành trưởng thành ở dần, thịnh vượng ở mão. Mộc thế sinh thịnh vượng không phải loại yếu đuối, cho nên gọi nó là gỗ cây tùng, tích huyết hứng sương che nắng mặt trời, gió thổi qua vi vu như nhạc cụ cành là dao động như lá cờ bay."
"Tân","Mão","Tùng bách mộc","Mộc","Mộc trong ngũ hành trưởng thành ở dần, thịnh vượng ở mão. Mộc thế sinh thịnh vượng không phải loại yếu đuối, cho nên gọi nó là gỗ cây tùng, tích huyết hứng sương che nắng mặt trời, gió thổi qua vi vu như nhạc cụ cành là dao động như lá cờ bay."
"Nhâm","Thìn","Trường lưu thủy","Thủy","Thìn trong ngũ hành là nơi tích trữ nước, tỵ trong ngũ hành là nơi sinh kim. Trong ngũ hành kim sợ thủy, kim trong tỵ có hàm chất thủy, bởi vì nơi tích trữ thủy gặp kim sinh thủy, cho nên nguồn thủy liên tục không ngừng mà gọi là nước sông dài. Nước sông dài ở Đông nam lấy yên tĩnh làm quý."
"Quý","Tỵ","Trường lưu thủy","Thủy","Thìn trong ngũ hành là nơi tích trữ nước, tỵ trong ngũ hành là nơi sinh kim. Trong ngũ hành kim sợ thủy, kim trong tỵ có hàm chất thủy, bởi vì nơi tích trữ thủy gặp kim sinh thủy, cho nên nguồn thủy liên tục không ngừng mà gọi là nước sông dài. Nước sông dài ở Đông nam lấy yên tĩnh làm quý."
"Giáp","Ngọ","Sa trung kim","Kim","Ngọ là nơi đế vượng của hỏa trong ngũ hành. Hỏa vượng thì kim suy. Mùi là nơi có hỏa vượng suy yếu trong ngũ hành. Hỏa suy yếu kim mới có thể từng bước trưởng thành. Hỏa vừa suy, kim mới có hình, cho nên lực không thể lớn mạnh mà gọi là kim trong cát. Kim trong cát là kim mới bắt đầu hình thành chưa thể dùng được cho nên cần có hỏa để luyện. Nhưng hỏa quá vượng, mà hỏa vượng thì kim bại đồng thời cần phải có mộc lại khắc chế kim, khiến kim không thể tùy tiện mà thịnh suy. Đồng thời phải lấy hỏa trên núi, hỏa dưới núi, hỏa ngọn đèn tính ôn hòa lại luyện nó. Trong số mệnh cho rằng đây là mệnh cục của thiếu niên vinh hoa phú quý. Sa trung kim cần có thủy tĩnh, sơ nếu nước sông dài và nước biển lớn ngược lại đem vùi cát đi. Cho nên cần phối hợp với nước khe núi, nước trong suối và nước trên trời mới tốt. Kim trong cát cũng sợ gặp đất ven đường, cát trong đất và đất vó ngựa, vì sẽ bị nó chôn vùi."
"Ất","Mùi","Sa trung kim","Kim","Ngọ là nơi đế vượng của hỏa trong ngũ hành. Hỏa vượng thì kim suy. Mùi là nơi có hỏa vượng suy yếu trong ngũ hành. Hỏa suy yếu kim mới có thể từng bước trưởng thành. Hỏa vừa suy, kim mới có hình, cho nên lực không thể lớn mạnh mà gọi là kim trong cát. Kim trong cát là kim mới bắt đầu hình thành chưa thể dùng được cho nên cần có hỏa để luyện. Nhưng hỏa quá vượng, mà hỏa vượng thì kim bại đồng thời cần phải có mộc lại khắc chế kim, khiến kim không thể tùy tiện mà thịnh suy. Đồng thời phải lấy hỏa trên núi, hỏa dưới núi, hỏa ngọn đèn tính ôn hòa lại luyện nó. Trong số mệnh cho rằng đây là mệnh cục của thiếu niên vinh hoa phú quý. Sa trung kim cần có thủy tĩnh, sơ nếu nước sông dài và nước biển lớn ngược lại đem vùi cát đi. Cho nên cần phối hợp với nước khe núi, nước trong suối và nước trên trời mới tốt. Kim trong cát cũng sợ gặp đất ven đường, cát trong đất và đất vó ngựa, vì sẽ bị nó chôn vùi."
"Bính","Thân","Sơn hạ hỏa","Hỏa","Thân là cửa mở xuống dưới đất, dậu là nơi về cửa thái dương. Một ngày đến chỗ đó là dần dần tối đi như mặt trời xuống núi. Cho nên, gọi là lửa dưới núi. Lửa dưới núi thực tế là chỉ mặt trời lúc buổ tối, mặt trời đã xuống núi thì tự nhiên gặp thổ gặp mộc là tốt. Nó là ánh sáng mặt trời vào đêm không thích gặp lửa sấm sét, lửa mặt trời và lửa đèn."
"Đinh","Dậu","Sơn hạ hỏa","Hỏa","Thân là cửa mở xuống dưới đất, dậu là nơi về cửa thái dương. Một ngày đến chỗ đó là dần dần tối đi như mặt trời xuống núi. Cho nên, gọi là lửa dưới núi. Lửa dưới núi thực tế là chỉ mặt trời lúc buổ tối, mặt trời đã xuống núi thì tự nhiên gặp thổ gặp mộc là tốt. Nó là ánh sáng mặt trời vào đêm không thích gặp lửa sấm sét, lửa mặt trời và lửa đèn."
"Mậu","Tuất","Bình địa mộc","Mộc","Ý nghĩa của mậu là đồng bằng, hợi là nơi sinh ra mộc. Cây sinh ở đồng bằng thì không thể là một quần thể lớn rộng mà chỉ là từng đám cây nhỏ, cho nên gọi nó là cây đồng bằng. Cây đồng bằng thích mưa nhưng không thích sương giá băng tuyết, nó cũng không thích nhiều đất mà cũng không thích rộng rãi, thường bị người chặt phá vì thế nên sợ kim, nếu gặp kim là bất lợi. Nó thích thủy thổ và mộc. Ngoài ra có một loại mệnh quý gọi “ Hàn cốc hồi xuân” tức là người sinh ở mùa đông, trong mệnh lại gặp dần mão. Hai chi này đều thuộc mộc nên gọi là sinh trưởng của cây trong mùa đông cũng là một loại mện quý."
"Kỷ","Hợi","Bình địa mộc","Mộc","Ý nghĩa của mậu là đồng bằng, hợi là nơi sinh ra mộc. Cây sinh ở đồng bằng thì không thể là một quần thể lớn rộng mà chỉ là từng đám cây nhỏ, cho nên gọi nó là cây đồng bằng. Cây đồng bằng thích mưa nhưng không thích sương giá băng tuyết, nó cũng không thích nhiều đất mà cũng không thích rộng rãi, thường bị người chặt phá vì thế nên sợ kim, nếu gặp kim là bất lợi. Nó thích thủy thổ và mộc. Ngoài ra có một loại mệnh quý gọi “ Hàn cốc hồi xuân” tức là người sinh ở mùa đông, trong mệnh lại gặp dần mão. Hai chi này đều thuộc mộc nên gọi là sinh trưởng của cây trong mùa đông cũng là một loại mện quý."
"Canh","Tý","Bích thượng thổ","Thổ","Sửu là chính vị của thổ trong ngũ hành. Nhưng tý là nơi thủy trong ngũ hành thịnh vượng. Thổ gặp phải thủy tràn lan mà biến thành bùn, cho nên chỉ có thể đắp đập mà gọi là đất trên tường. Đất trên tường dùng để làm nhà, đầu tiên phải dựa vào xà cột cho nên gặp mộc sẽ tốt, gặp hỏa thì xấu, gặp thủy cũng là mệnh hay nhưng trừ gặp nước biển lớn. Còn với kim thì chỉ thích kim bạc kim."
"Tân","Sửu","Bích thượng thổ","Thổ","Sửu là chính vị của thổ trong ngũ hành. Nhưng tý là nơi thủy trong ngũ hành thịnh vượng. Thổ gặp phải thủy tràn lan mà biến thành bùn, cho nên chỉ có thể đắp đập mà gọi là đất trên tường. Đất trên tường dùng để làm nhà, đầu tiên phải dựa vào xà cột cho nên gặp mộc sẽ tốt, gặp hỏa thì xấu, gặp thủy cũng là mệnh hay nhưng trừ gặp nước biển lớn. Còn với kim thì chỉ thích kim bạc kim."
"Nhâm","Dần","Kim bạc kim","Kim","Dần mão ngũ hành thuộc mộc, là nơi mộc vượng. Mộc vượng thì kim bị gầy yếu. Kim trong ngũ hành tuyệt ở dần, thai ở mão. Tóm lại Kim ở đây mềm yếu không có lực cho nên gọi là kim loại trang sức."
"Quý","Mão","Kim bạc kim","Kim","Dần mão ngũ hành thuộc mộc, là nơi mộc vượng. Mộc vượng thì kim bị gầy yếu. Kim trong ngũ hành tuyệt ở dần, thai ở mão. Tóm lại Kim ở đây mềm yếu không có lực cho nên gọi là kim loại trang sức."
"Giáp","Thìn","Phú đăng hỏa","Hỏa","Thìn là trời đã sáng, tỵ là sắp đến buổi trưa. Mặt trời tỏa sáng thiên hạ không cần phải đốt đèn chiếu sáng, cho nên bị xem là lửa ngọn đèn, ánh sáng của đèn lung linh, cây đèn chiếu sáng đến những nơi mặt trời mặt trăng không thể chiếu sáng tới được."
"Ất","Tỵ","Phú đăng hỏa","Hỏa","Thìn là trời đã sáng, tỵ là sắp đến buổi trưa. Mặt trời tỏa sáng thiên hạ không cần phải đốt đèn chiếu sáng, cho nên bị xem là lửa ngọn đèn, ánh sáng của đèn lung linh, cây đèn chiếu sáng đến những nơi mặt trời mặt trăng không thể chiếu sáng tới được."
"Bính","Ngọ","Thiên hà thủy","Thủy","Bính đinh thuộc hỏa, ngọ là nơi ngũ hành hỏa vượng nhưng nạp âm gọi thủy. Thủy từ trong hỏa sinh ra cho nên xem như nước trên trời. Nguyên khí lên cao khí thế sung túc hóa thành mây mù rơi xuống thành mưa. Nó có công lao thúc đẩy sự sinh trưởng vạn vật."
"Đinh","Mùi","Thiên hà thủy","Thủy","Bính đinh thuộc hỏa, ngọ là nơi ngũ hành hỏa vượng nhưng nạp âm gọi thủy. Thủy từ trong hỏa sinh ra cho nên xem như nước trên trời. Nguyên khí lên cao khí thế sung túc hóa thành mây mù rơi xuống thành mưa. Nó có công lao thúc đẩy sự sinh trưởng vạn vật."
"Mậu","Thân","Đại dịch thổ","Thổ","Than là quẻ khôn, quẻ khôn trong bát quái ý nghĩa là đất. Dậu là quẻ Đoài, quẻ Đoài ý nghĩa trong bát quái là đầm ao. Mậu kỷ trong ngũ hành thuộc thổ, nó ở trên mặt đất ao hồ giống như bụi bay trong không khí. Cho nên gọi nó là đất dịch chuyển."
"Kỷ","Dậu","Đại dịch thổ","Thổ","Than là quẻ khôn, quẻ khôn trong bát quái ý nghĩa là đất. Dậu là quẻ Đoài, quẻ Đoài ý nghĩa trong bát quái là đầm ao. Mậu kỷ trong ngũ hành thuộc thổ, nó ở trên mặt đất ao hồ giống như bụi bay trong không khí. Cho nên gọi nó là đất dịch chuyển."
"Canh","Tuất","Thoa xuyến kim","Kim","Ngũ hành kim suy yếu tại tuất, bệnh tại hợi. kim đã suy yếu lại bệnh, cho nên rất mềm yếu mà gọi kim là trang sức. Kim trang sức là vàng bạc liệu có phú quý không? Không nhất định như vậy. Vạn vật cái quý nhất là được bản tính tự nhiên. Cho nên kim trang sức là vật để đeo trang sức đương nhiên đã bị làm tổn thương. Kim trang sức sợ gặp hỏa, thích gặp nước giếng, nước khe núi, nước trong suối, nước sông dài là tốt. Nhưng sợ gặp nước biển lớn ví như đá rơi đáy biển. Ngoài ra nó còn thích cát trong đất bởi vì thổ có thể sinh kim."
"Tân","Hợi","Thoa xuyến kim","Kim","Ngũ hành kim suy yếu tại tuất, bệnh tại hợi. kim đã suy yếu lại bệnh, cho nên rất mềm yếu mà gọi kim là trang sức. Kim trang sức là vàng bạc liệu có phú quý không? Không nhất định như vậy. Vạn vật cái quý nhất là được bản tính tự nhiên. Cho nên kim trang sức là vật để đeo trang sức đương nhiên đã bị làm tổn thương. Kim trang sức sợ gặp hỏa, thích gặp nước giếng, nước khe núi, nước trong suối, nước sông dài là tốt. Nhưng sợ gặp nước biển lớn ví như đá rơi đáy biển. Ngoài ra nó còn thích cát trong đất bởi vì thổ có thể sinh kim."
"Nhâm","Tý","Tang thạch mộc","Mộc","Ngũ hành tý thuộc thủy, ngũ hành sửu thuộc thổ sinh kim. Thủy có thể làm cho mộc sinh trưởng tươi tốt nhưng kim lập tức có thể chặt nó. Nó giống như cây dây vừa mới sinh trưởng đã bị người ta chặt, cho nên gọi nó là gỗ cây dâu. Quá trình sinh trưởng của cây dâu nếu gặp cát trong đất, đất ven đường, đất chuyển dịch nơi sinh nó thì rất tốt. Gặp nước sông dài, nước dưới khe, nước trong suối sẽ giúp bỏ nó tươi tốt. Nếu gặp Canh dần Tân mão gỗ cây tùng bách, đây gọi là mạnh yếu giúp nhau, gặp gỗ cây liễu người ta gọi “ Dâu liễu thành rừng” là cảnh an cư lập nghiệp. Gặp gỗ rừng lớn giống như nhánh sông gặp dòng sông là rất tốt. Chỉ có gặp gỗ đồng bằng, gỗ cây lựu sẽ bị tàn phá chèn ép là xấu."
"Quý","Sửu","Tang thạch mộc","Mộc","Ngũ hành tý thuộc thủy, ngũ hành sửu thuộc thổ sinh kim. Thủy có thể làm cho mộc sinh trưởng tươi tốt nhưng kim lập tức có thể chặt nó. Nó giống như cây dây vừa mới sinh trưởng đã bị người ta chặt, cho nên gọi nó là gỗ cây dâu. Quá trình sinh trưởng của cây dâu nếu gặp cát trong đất, đất ven đường, đất chuyển dịch nơi sinh nó thì rất tốt. Gặp nước sông dài, nước dưới khe, nước trong suối sẽ giúp bỏ nó tươi tốt. Nếu gặp Canh dần Tân mão gỗ cây tùng bách, đây gọi là mạnh yếu giúp nhau, gặp gỗ cây liễu người ta gọi “ Dâu liễu thành rừng” là cảnh an cư lập nghiệp. Gặp gỗ rừng lớn giống như nhánh sông gặp dòng sông là rất tốt. Chỉ có gặp gỗ đồng bằng, gỗ cây lựu sẽ bị tàn phá chèn ép là xấu."
"Giáp","Dần","Đại khê thủy","Thủy","Dần mão thuộc phương Đông, dần là nơi gió đông thịnh vượng. Mão ở chính Đông, nếu nước hướng chảy chính Đông thì tha hồ thỏa thích trên đường tụ hội thành dòng chảy ra sông mà gọi là nước suối lớn. Nước suối lớn cần chảy về biển mà điều quan trọng là chảy lien tục không dứt. Do đó nước suối lớn nên gặp kim sinh thủy giúp. Nếu gặp các loại thổ khác và phải sinh mộc đều không hay. Chỉ có Nhâm tý, Quý sửu là núi, lại gặp nước, trong sách gọi “ Nước chảy quanh núi” mới là cục mệnh quý."
